Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,AvgOrderValue,PurchaseIntensity,ProductDiversity,Customer_active_days,email_click_rate,website_visits,time_on_site,discount_response,LeadScore,LeadScore_Log,LeadScore_Final
12346.0,325,12,77556.46,2,5,5,255,Loyal Customer,6463.038333333334,0.03680981595092025,27,400,1.0,33,330,0,254.3680981595092,5.542706026475982,30.664568559443218
12347.0,1,8,5633.32,5,4,5,545,Champion,704.165,4.0,126,402,0.9,24,288,1,520.0,6.255750041753367,44.40586948444377
12348.0,74,5,2019.4,3,4,4,344,Loyal Customer,403.88,0.06666666666666667,25,362,0.8,12,84,0,231.66666666666666,5.449606814094262,28.870423645794258
12349.0,18,4,4428.69,5,3,5,535,Champion,1107.1725,0.21052631578947367,138,570,0.8,10,80,1,489.10526315789474,6.194620190804779,43.22781643387829
12350.0,309,1,334.4,2,1,2,212,Potential Customer,334.4,0.0032258064516129032,17,0,0.3,11,99,0,115.03225806451613,4.753868239210478,15.4626214375533
12351.0,374,1,300.93,2,1,2,212,Potential Customer,300.93,0.0026666666666666666,21,0,0.3,10,60,0,123.02666666666667,4.8204965962477315,16.74663797029303
12352.0,35,10,2849.84,4,5,4,454,Champion,284.98400000000004,0.2777777777777778,70,356,0.9,25,300,1,355.77777777777777,5.877113116753295,37.10903532516844
12353.0,203,2,406.76,2,2,2,222,Potential Customer,203.38,0.00980392156862745,23,204,0.4,8,88,0,144.09803921568627,4.977409646467935,19.77055991050699
12354.0,231,1,1079.4,2,1,3,213,Potential Customer,1079.4,0.004310344827586207,58,0,0.4,9,117,0,214.04310344827587,5.370838489188773,27.3524538813843
12355.0,213,2,947.61,2,2,3,223,Potential Customer,473.805,0.009345794392523364,35,353,0.5,8,104,0,185.09345794392522,5.226249009585522,24.566023440558578
12356.0,22,6,6373.68,4,4,5,445,Champion,1062.28,0.2608695652173913,104,401,0.9,13,91,1,423.6086956521739,6.051168028692456,40.46330360480623
